poiId,name,latitude,longitude,preference,address
43,Alerta Praia Bar,-12.9506612,-38.3635003,bar,R. Aristides Milton  516 - Itapua  Salvador - BA  41301-110  Brazil
44,Five Sport Bar - Shopping Paralela,-12.9365739,-38.3952434,bar,Unidade Shopping Paralela Avenida Luis Viana Filho  n 8544  Piso L2 - Paralela  Salvador - BA  41730-101  Brazil
45,Pipa Beach Club,-12.9218626,-38.3140869,bar,Alameda Cabo Frio  S/N  Salvador - BA  41603-135  Brazil
46,Blue Beach Bar,-13.0142478,-38.48245120000001,bar,R. Barro Vermelho  310 - Rio Vermelho  Salvador - BA  41940-340  Brazil
47,Rua 15 Restaurante e Bar,-12.9795299,-38.4299455,bar,Av. Iemanja - Boca do Rio  Salvador - BA  41710-755  Brazil
48,Boteco Da Torre,-12.9502939,-38.3652875,bar,R. Aristides Milton  s/n - Itapua  Salvador - BA  41610-011  Brazil
49,Terapia Restaurante e Bar,-12.9693369,-38.4368642,bar,Av. Jorge Amado  16 - Imbui  Salvador - BA  41720-110  Brazil
50,Bar Lagoa dos Frades,-12.9807799,-38.4436399,bar,Tv. Arnaldo Lopes da Silva  940 - Stiep  Salvador - BA  41770-850  Brazil
51,Le Petit Bar,-12.9401138,-38.3351686,bar,R. Cap. Melo  663 - Stella Maris  Salvador - BA  41.600  Brazil
52,Bar e Restaurante,-12.9125452,-38.4971898,bar,Av. Beira Mar  473 - Ribeira  Salvador - BA  40420-340  Brazil
53,Loro - Praia do Flamengo,-12.9226105,-38.3148936,bar,R. Des. Manoel de Andrade Teixeira  266 - Praia do Flamengo  Salvador - BA  41603-135  Brazil
54,Bar Da Neuza - Point Do Mocoto,-12.9139649,-38.3671181,bar,Mussurunga I  Salvador - State of Bahia  41490-412  Brazil
55,Varanda Ferreira Bar e Restaurante,-12.9652172,-38.4326806,bar,Estr. das Pedrinhas  03 - Imbui  Salvador - BA  41720-340  Brazil
56,Sal Marinho,-12.999919,-38.456829,bar,R. Territorio do Rio Branco  219 - Pituba  Salvador - BA  41830-530  Brazil
57,Bar e Restaurante Aconchego,-12.9194206,-38.3631426,bar,Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil
58,30 Segundos Bar,-13.0092794,-38.4915051,bar,R. Ilheus  21 - Rio Vermelho  Salvador - BA  41940-570  Brazil
59,Nova Alegria Bar e Restaurante,-12.9693386,-38.437136,bar,Av. Jorge Amado  s/n - Imbui  Salvador - BA  41720-005  Brazil
60,BaO Petiscaria,-12.97853,-38.4450989,bar,R. Manoel Joaquim Alves  314 - Stiep  Salvador - BA  41770-165  Brazil
61,Beckels Pizza,-12.9919109,-38.4551933,bar,R. das Rosas  198 - Pituba  Salvador - BA  41810-070
62,Bar Da Chica,-12.9488544,-38.3694839,bar,R. Manoel Lisboa - Itapuã  Salvador - BA  41635-840
63,Zaccaria Bar,-12.9935325,-38.4555036,bar,R. das Margaridas  90 - Pituba  Salvador - BA  41810-100
64,Nachos Mexican Bar,-12.9365739,-38.3952434,bar,Av. Luís Viana Filho  8544 - Paralela  Salvador - BA  41730-101
65,Pra Comecar! Bar Balada Musica ao Vivo Salvador,-13.0080024,-38.4640591,bar,Av. Manoel Dias da Silva  1345 - Pituba  Salvador - BA  41830-001
66,Barzinho,-13.0075328,-38.4823458,bar,R. Ipiranga  101 - Rio Vermelho  Salvador - BA  41926-060
67,Eu Vi! Music Bar,-12.9935309,-38.4528697,bar,Rua Miguel Navarro Y Cañizares  234 - Pituba  Salvador - BA  41810-215
68,Oxente Bar e Petiscaria,-12.9539823,-38.4605298,bar,Alameda Uberaba  445 - Cabula  Salvador - BA  41150-000
69,Bar e Churrascaria Uai Bode,-12.9314504,-38.4083654,bar,R. Mocambo  03 - Trobogy  Salvador - BA  41745-037
70,Posto 12 - Bar e Restaurante,-12.9506237,-38.3631041,bar,R. Aristídes Milton  33 - Itapuã  Salvador - BA  41610-011
71,agua de Pote,-12.9468413,-38.3700574,bar,1A Travessa Nova Esperança - Itapuã  Salvador - BA  41620-495
72,Sentollas Bar e Restaurante,-12.967751,-38.4082736,bar,R. Manoel Antônio Galvão  361 - Pituaçu  Salvador - BA  41741-550
72,Bar do Americo,-12.9321912,-38.4216671,bar,R. Prof. Milton Santos  2 - Canabrava  Salvador - BA  41250-470
73,Bar Zulu,-12.9742321,-38.5082679,bar,R. das Laranjeiras  15 - Pelourinho  Salvador - BA  40026-230  Brazil
74,Touro Louco,-12.9445927,-38.3408498,bar,Alameda Praia de Camburiu  108 - Stella Maris  Salvador - BA  41600-460  Brazil
75,Bar do Mamao,-12.9476971,-38.3606972,bar,R. Min. Carlos Coqueijo Costa  103 - Itapua  Salvador - BA  41620-810  Brazil
76,Praia de Itapua,-12.95052,-38.36654,beach,Praia de Itapua - Itapua  Salvador - State of Bahia  41610-160  Brazil
